Address,Price
"97 S 8th St APT 22, Brooklyn, NY 11249","325,000"
"57 Wyckoff St, Brooklyn, NY 11201","12,500,000"
"2071 Homer Ave, Bronx, NY 10473","250,000"
"1383 Plimpton Ave #3A, Bronx, NY 10452","110,000"
"1230 Boston Rd APT 29, Bronx, NY 10456","100,000"
"757 E 169th St #1E, Bronx, NY 10456","65,000"
"1383 Plimpton Ave APT 2-D, Bronx, NY 10452","144,000"
"1103 Franklin Ave APT 14, Bronx, NY 10456","87,500"
"1842 Holland Ave, Bronx, NY 10462","715,000"
"2962 Lafayette Ave, Bronx, NY 10465","675,000"
"1182 Jackson Ave, Bronx, NY 10456","950,000"
"3750 Hudson Manor Ter APT 2AW, Bronx, NY 10463","388,000"
"1616 Taylor Ave, Bronx, NY 10460","519,000"
"1104 Elder Ave APT 3M, Bronx, NY 10472","82,000"
"2186 Cruger Ave APT 3B, Bronx, NY 10462","114,900"
"49B Edgewater Park Park, Bronx, NY 10465","485,000"
"1224 Mace Ave, Bronx, NY 10469","699,000"
"6200 Riverdale Ave #4K, Bronx, NY 10471","180,000"
"1922 McGraw Ave #4A, Bronx, NY 10462","155,000"
"935 E 178th St, Bronx, NY 10460","160,000"
